Area,Import Quantity,GDP growth per capita (US$),GDP per capita (US$),Avg. population growth (annual %),Political_Stability,Region,Union european
Afghanistan,44.0,0.289848,496.940553,2.87,-2.75,Asia,0
Albania,22.0,1.672835,5345.602513,-0.15,0.38,Europe,0
Algeria,0.0,-4.295718,3975.519002,2.06,-0.79,Africa,0
Angola,278.0,-14.591763,2809.626403,3.44,-0.32,Africa,0
Antigua and Barbuda,7.0,4.180217,17376.112907,1.02,0.73,Americas,0
Argentina,5.0,-14.750924,9947.264856,1.01,0.02,Americas,0
Armenia,43.0,9.100914,4604.641377,0.37,-0.42,Asia,0
Australia,9.0,-6.542375,54763.202388,1.37,0.98,Oceania,0
Austria,113.0,-2.926932,49693.668783,0.77,0.92,Europe,1
Azerbaijan,39.0,1.254493,4794.54492,1.17,-0.7,Asia,0
Bahamas,25.0,1.53156,33799.839641,0.99,0.87,Americas,0
Bangladesh,0.0,10.511157,1846.416377,1.1,-1.03,Asia,0
Barbados,2.0,3.278652,18458.148245,0.16,0.92,Americas,0
Belarus,10.0,7.297121,6814.152439,0.06,0.35,Europe,0
Belgium,320.0,-1.957791,46388.205209,0.58,0.41,Europe,1
Belize,0.0,1.138911,4983.310582,2.07,0.02,Americas,0
Benin,117.0,-1.796465,1219.515479,2.8,-0.13,Africa,0
Bolivia (Plurinational State of),2.0,0.098028,3552.06876,1.49,-0.24,Americas,0
Bosnia and Herzegovina,11.0,0.789016,6120.156351,-1.27,-0.39,Europe,0
Botswana,5.0,-3.731717,7970.842173,1.79,0.98,Africa,0
Brazil,5.0,-2.349607,8936.360101,0.83,-0.36,Americas,0
Bulgaria,111.0,4.609411,9844.65467,-0.66,0.42,Europe,1
Burkina Faso,0.0,-3.222746,786.895614,2.96,-1.04,Africa,0
Burundi,0.0,-1.584267,292.139142,3.21,-1.6,Africa,0
Côte d'Ivoire,1.0,-1.628817,2276.340329,2.56,-0.93,Africa,0
Cabo Verde,13.0,-0.350039,3603.782576,1.22,0.75,Africa,0
Cambodia,1.0,8.697296,1643.641451,1.58,0.11,Asia,0
Cameroon,2.0,-1.762265,1507.450172,2.69,-1.38,Africa,0
Canada,179.0,0.228098,46550.335507,0.99,0.99,Americas,0
