Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","2","Afghanistan","5511","Production","2734","Poultry Meat","2015","2015","1000 tonnes","25","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5511","Production","2734","Poultry Meat","2016","2016","1000 tonnes","24","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5511","Production","2734","Poultry Meat","2017","2017","1000 tonnes","28","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","29","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5511","Production","2734","Poultry Meat","2019","2019","1000 tonnes","28","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5611","Import Quantity","2734","Poultry Meat","2015","2015","1000 tonnes","43","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5611","Import Quantity","2734","Poultry Meat","2016","2016","1000 tonnes","37","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5611","Import Quantity","2734","Poultry Meat","2017","2017","1000 tonnes","29","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","25","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5611","Import Quantity","2734","Poultry Meat","2019","2019","1000 tonnes","44","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5072","Stock Variation","2734","Poultry Meat","2015","2015","1000 tonnes","1","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5072","Stock Variation","2734","Poultry Meat","2016","2016","1000 tonnes","-8","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5072","Stock Variation","2734","Poultry Meat","2017","2017","1000 tonnes","-7","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5072","Stock Variation","2734","Poultry Meat","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5072","Stock Variation","2734","Poultry Meat","2019","2019","1000 tonnes","5","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5911","Export Quantity","2734","Poultry Meat","2015","2015","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5911","Export Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5301","Domestic supply quantity","2734","Poultry Meat","2015","2015","1000 tonnes","66","S","Standardized data"
"FBS","Food Balances (2010-)","2","Afghanistan","5301","Domestic supply quantity","2734","Poultry Meat","2016","2016","1000 tonnes","69","S","Standardized data"
"FBS","Food Balances (2010-)","2","Afghanistan","5301","Domestic supply quantity","2734","Poultry Meat","2017","2017","1000 tonnes","64","S","Standardized data"
"FBS","Food Balances (2010-)","2","Afghanistan","5301","Domestic supply quantity","2734","Poultry Meat","2018","2018","1000 tonnes","53","S","Standardized data"
"FBS","Food Balances (2010-)","2","Afghanistan","5301","Domestic supply quantity","2734","Poultry Meat","2019","2019","1000 tonnes","67","S","Standardized data"
"FBS","Food Balances (2010-)","2","Afghanistan","5170","Residuals","2734","Poultry Meat","2015","2015","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5170","Residuals","2734","Poultry Meat","2016","2016","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5170","Residuals","2734","Poultry Meat","2017","2017","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5170","Residuals","2734","Poultry Meat","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5170","Residuals","2734","Poultry Meat","2019","2019","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5142","Food","2734","Poultry Meat","2015","2015","1000 tonnes","66","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5142","Food","2734","Poultry Meat","2016","2016","1000 tonnes","69","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5142","Food","2734","Poultry Meat","2017","2017","1000 tonnes","64","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5142","Food","2734","Poultry Meat","2018","2018","1000 tonnes","53","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","5142","Food","2734","Poultry Meat","2019","2019","1000 tonnes","67","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2015","2015","kg","1.92","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2016","2016","kg","1.96","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2017","2017","kg","1.76","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2018","2018","kg","1.44","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2019","2019","kg","1.76","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2015","2015","kcal/capita/day","7","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2016","2016","kcal/capita/day","7","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2017","2017","kcal/capita/day","6","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","5","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2019","2019","kcal/capita/day","6","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2015","2015","g/capita/day","0.69","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2016","2016","g/capita/day","0.7","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2017","2017","g/capita/day","0.63","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","0.51","Fc","Calculated data"
