Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","2","Afghanistan","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","18904.490263","X","International reliable sources",""
"MK","Macro Indicators","2","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","496.940553","X","International reliable sources",""
"MK","Macro Indicators","2","Afghanistan","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","2.636658","Fc","Calculated data",""
"MK","Macro Indicators","2","Afghanistan","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","0.289848","Fc","Calculated data",""
"MK","Macro Indicators","2","Afghanistan","6110","Value US$","22008","Gross Domestic Product","2020","2020","millions","19793.262413","X","International reliable sources",""
"MK","Macro Indicators","2","Afghanistan","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","US$","508.453722","X","International reliable sources",""
"MK","Macro Indicators","2","Afghanistan","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","4.701381","Fc","Calculated data",""
"MK","Macro Indicators","2","Afghanistan","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2020","2020","%","2.31681","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","15400.237155","X","International reliable sources",""
"MK","Macro Indicators","3","Albania","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","5345.602513","X","International reliable sources",""
"MK","Macro Indicators","3","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","1.608539","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","1.672835","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","6110","Value US$","22008","Gross Domestic Product","2020","2020","millions","14909.619335","X","International reliable sources",""
"MK","Macro Indicators","3","Albania","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","US$","5180.914198","X","International reliable sources",""
"MK","Macro Indicators","3","Albania","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-3.185781","Fc","Calculated data",""
"MK","Macro Indicators","3","Albania","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2020","2020","%","-3.080819","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","171158.234285","X","International reliable sources",""
"MK","Macro Indicators","4","Algeria","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","3975.519002","X","International reliable sources",""
"MK","Macro Indicators","4","Algeria","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","-2.426783","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","-4.295718","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","6110","Value US$","22008","Gross Domestic Product","2020","2020","millions","147688.69383","X","International reliable sources",""
"MK","Macro Indicators","4","Algeria","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","US$","3367.963003","X","International reliable sources",""
"MK","Macro Indicators","4","Algeria","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-13.712189","Fc","Calculated data",""
"MK","Macro Indicators","4","Algeria","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2020","2020","%","-15.282432","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","3155.149348","X","International reliable sources",""
"MK","Macro Indicators","6","Andorra","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","40900.53859","X","International reliable sources",""
"MK","Macro Indicators","6","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","-1.965875","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2019","2019","%","-2.138708","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","6110","Value US$","22008","Gross Domestic Product","2020","2020","millions","2864.399402","X","International reliable sources",""
"MK","Macro Indicators","6","Andorra","6119","Value US$ per capita","22008","Gross Domestic Product","2020","2020","US$","37072.405384","X","International reliable sources",""
"MK","Macro Indicators","6","Andorra","6129","Annual growth US$","22008","Gross Domestic Product","2020","2020","%","-9.215093","Fc","Calculated data",""
"MK","Macro Indicators","6","Andorra","61290","Annual growth US$ per capita","22008","Gross Domestic Product","2020","2020","%","-9.359616","Fc","Calculated data",""
"MK","Macro Indicators","7","Angola","6110","Value US$","22008","Gross Domestic Product","2019","2019","millions","89417.18912","X","International reliable sources",""
"MK","Macro Indicators","7","Angola","6119","Value US$ per capita","22008","Gross Domestic Product","2019","2019","US$","2809.626403","X","International reliable sources",""
"MK","Macro Indicators","7","Angola","6129","Annual growth US$","22008","Gross Domestic Product","2019","2019","%","-11.776659","Fc","Calculated data",""
